,Tract,FIPS,Area (Land),Total Population:,% Total Population: White Alone,% Total Population: Black or African American Alone,Population 25 Years and Over:,Civilian Population in Labor Force 16 Years and Over:,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Households:,% Households: with Social Security Income,% Households: No Social Security Income,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,"% Households: Less than $39,999","% Households: $40,000 to $74,999","% Households: $75,000 or More",% High School or Less,% Bachelor's or More,Life Expectancy
1399,DuPage County 8418.01,17043841801,3332283,5071,85.51,5.15,3264,2646,93.16,6.84,1793,26.27,73.73,1.76,98.24,23.13,86.65,15.120000000000001,16.73,68.15,11.61,66.08,87.3
1400,DuPage County 8418.02,17043841802,3824747,5387,89.62,2.58,3570,2811,94.91,5.09,1820,29.56,70.44,2.67,97.33,17.75,91.41,8.89,15.44,75.66,18.240000000000002,55.800000000000004,88.2
1401,DuPage County 8419.01,17043841901,1659852,2699,92.52,0.0,1706,1327,95.18,4.82,880,27.95,72.05,1.41,98.59,14.89,93.81,5.79,10.0,84.21000000000001,6.21,66.88,81.8
1402,DuPage County 8419.02,17043841902,1269816,4224,81.04,6.58,1440,2059,96.31,3.69,727,18.29,81.71,4.71,95.29,8.66,90.39,18.7,12.100000000000001,69.19,9.65,71.53,80.7
1403,DuPage County 8420.00,17043842000,3013546,4084,93.95,0.71,2694,2012,96.07,3.93,1467,29.04,70.96,3.09,96.91,18.63,91.43,7.769999999999999,9.82,82.42,5.12,76.77000000000001,84.3
1404,DuPage County 8421.00,17043842100,3897431,6036,93.29,2.09,4081,2736,94.52,5.48,2331,36.29,63.71,2.15,97.85,24.01,88.93,17.81,18.400000000000002,63.79,12.06,64.92999999999999,83.1
1405,DuPage County 8422.00,17043842200,2077682,4510,89.47,3.39,3141,2269,94.31,5.69,1942,27.39,72.61,1.15,98.85,23.99,88.45,27.12,22.96,49.89,17.25,61.89,87.6
1406,DuPage County 8423.00,17043842300,1829165,3651,92.47,1.04,2256,1802,97.61,2.39,1214,25.37,74.63,4.19,95.81,14.85,89.45,8.73,11.370000000000001,79.9,8.82,73.14,83.1
1407,DuPage County 8424.00,17043842400,2169791,5019,73.98,5.28,3165,2595,95.11,4.89,1679,19.71,80.29,3.21,96.79,25.42,79.28,19.950000000000003,25.019999999999996,55.03,20.91,55.14,82.1
1408,DuPage County 8425.00,17043842500,1945106,3578,90.16,3.13,2578,2201,96.87,3.13,1604,18.83,81.17,2.91,97.09,22.58,82.84,9.23,19.39,71.37,14.81,54.260000000000005,85.7
1409,DuPage County 8426.01,17043842601,7507137,4176,86.81,0.34,2731,2042,94.86,5.14,1393,22.54,77.46,3.86,96.14,15.95,90.01,2.66,14.280000000000001,83.07,6.52,75.86999999999999,81.3
1410,DuPage County 8426.02,17043842602,4644304,3921,90.33,0.03,2759,2046,94.67,5.33,1437,27.42,72.58,1.45,98.55,19.28,91.63,6.1899999999999995,5.09,88.73,8.16,75.31,82.0
