,Tract,FIPS,Area (Land),Total Population:,% Total Population: White Alone,% Total Population: Black or African American Alone,Population 25 Years and Over:,Civilian Population in Labor Force 16 Years and Over:,% Civilian Population in Labor Force 16 Years and Over: Employed,% Civilian Population in Labor Force 16 Years and Over: Unemployed,Households:,% Households: with Social Security Income,% Households: No Social Security Income,% Total: No Health Insurance Coverage,% Total: with Health Insurance Coverage,% Total: with Health Insurance Coverage: Public Health Coverage,% Total: with Health Insurance Coverage: Private Health Insurance,"% Households: Less than $39,999","% Households: $40,000 to $74,999","% Households: $75,000 or More",% High School or Less,% Bachelor's or More,Life Expectancy
425,Cook County 2925.00,17031292500,982499,3588,6.97,85.65,2351,1562,77.34,22.66,1468,31.2,68.8,17.75,82.25,55.02,34.67,45.09000000000001,37.260000000000005,17.64,43.13,26.249999999999996,72.2
426,Cook County 3005.00,17031300500,271031,2793,42.18,3.62,2004,1475,94.17,5.83,801,32.08,67.92,23.09,76.91,37.06,46.33,35.71,32.59,31.71,66.07,18.310000000000002,75.6
427,Cook County 3006.00,17031300600,328182,2757,39.17,12.22,1827,1252,90.5,9.5,816,19.98,80.02,26.1,73.9,39.95,37.99,40.56,43.62,15.809999999999999,75.91,7.22,75.0
428,Cook County 3007.00,17031300700,329127,4572,44.36,3.41,2783,2563,92.27,7.73,1551,11.99,88.01,27.32,72.68,38.28,35.52,45.830000000000005,37.85,16.32,75.82,11.57,76.0
429,Cook County 3009.00,17031300900,327299,4016,40.96,1.89,2975,1469,95.17,4.83,1622,33.91,66.09,20.17,79.83,53.78,38.6,76.25000000000001,15.22,8.5,69.61,6.69,76.0
430,Cook County 3011.00,17031301100,211425,2148,46.37,2.98,1381,952,97.69,2.31,744,20.83,79.17,30.68,69.32,39.2,31.47,60.21999999999999,25.8,13.98,74.59,14.41,75.6
431,Cook County 3012.00,17031301200,482205,4654,34.74,17.28,2635,1978,85.95,14.05,1352,9.17,90.83,14.61,85.39,51.2,35.99,59.09,27.0,13.91,70.4,13.13,75.6
432,Cook County 3016.00,17031301600,329517,3754,39.98,3.28,2451,1546,81.24,18.76,1386,43.15,56.85,21.28,78.72,59.86,30.34,69.69,16.310000000000002,14.0,77.39,12.93,77.0
433,Cook County 3017.01,17031301701,330773,4099,58.99,0.34,2759,2151,93.4,6.6,1290,35.74,64.26,20.64,79.36,34.18,51.87,40.07,30.619999999999997,29.299999999999997,72.71,6.630000000000001,77.0
434,Cook County 3017.02,17031301702,330989,3961,38.22,0.0,2395,1934,90.02,9.98,1218,26.85,73.15,24.41,75.59,47.29,32.62,44.82,29.07,26.11,79.53999999999999,6.35,77.0
435,Cook County 3018.01,17031301801,694937,4437,40.05,0.05,2460,1702,89.19,10.81,1187,31.93,68.07,18.39,81.61,55.26,33.13,43.4,29.480000000000004,27.12,64.55,14.24,77.0
436,Cook County 3018.02,17031301802,345011,2746,47.52,0.91,1634,1226,91.52,8.48,790,32.15,67.85,31.39,68.61,42.75,27.35,54.3,22.029999999999998,23.680000000000003,77.23,12.05,76.0
437,Cook County 3018.03,17031301803,351050,3547,56.89,0.0,2335,1847,90.2,9.8,1157,33.28,66.72,16.07,83.93,48.35,37.52,54.71,29.049999999999997,16.25,71.17,12.629999999999999,77.0
438,Cook County 3102.00,17031310200,320573,1697,63.76,3.83,1330,1128,95.21,4.79,709,10.01,89.99,4.36,95.64,32.17,66.71,26.66,17.35,55.99000000000001,24.509999999999998,51.660000000000004,80.7
439,Cook County 3103.00,17031310300,318572,1891,48.23,3.81,1271,987,93.82,6.18,724,20.86,79.14,10.26,89.74,22.95,68.64,30.790000000000003,37.019999999999996,32.19,36.35,37.15,79.1
440,Cook County 3105.00,17031310500,161938,1434,49.02,0.0,1007,757,92.07,7.93,522,26.05,73.95,24.9,75.1,46.16,38.42,35.239999999999995,34.1,30.66,52.730000000000004,20.349999999999998,76.0
441,Cook County 3106.00,17031310600,543291,4780,52.43,4.41,3541,2964,95.01,4.99,2116,18.67,81.33,11.4,88.6,26.49,64.16,36.06,22.78,41.17,37.84,49.449999999999996,76.8
442,Cook County 3107.00,17031310700,160036,1322,45.69,4.77,1059,816,84.31,15.69,552,17.75,82.25,20.27,79.73,34.57,46.6,48.919999999999995,27.36,23.729999999999997,52.69,27.289999999999996,78.2
443,Cook County 3108.00,17031310800,332782,4272,56.53,1.99,3165,2527,94.1,5.9,1533,16.96,83.04,17.95,82.05,21.93,62.27,31.63,33.53,34.83,43.57,35.32,77.1
444,Cook County 3109.00,17031310900,484908,4983,52.26,2.27,3220,3184,90.17,9.83,1646,11.97,88.03,12.36,87.64,30.48,61.99,37.67,19.08,43.25,45.59,35.03,77.1
445,Cook County 3206.00,17031320600,609069,5094,69.95,8.23,4301,3815,94.52,5.48,3051,6.46,93.54,1.69,98.31,12.74,92.72,14.580000000000002,15.11,70.31,2.65,77.5,81.7
446,Cook County 3302.00,17031330200,756020,3904,51.77,20.75,2808,1995,97.84,2.16,1815,25.51,74.49,3.96,96.04,23.46,80.45,29.7,6.83,63.47,15.809999999999999,62.599999999999994,80.3
447,Cook County 3403.00,17031340300,213596,1915,20.31,0.0,1329,814,95.33,4.67,724,42.13,57.87,10.29,89.71,54.83,42.19,54.97,19.749999999999996,25.28,61.03,22.12,84.5
448,Cook County 3404.00,17031340400,290316,1750,12.17,4.69,1227,914,94.2,5.8,597,21.61,78.39,14.23,85.77,36.29,55.14,42.73000000000001,20.61,36.690000000000005,51.27,31.470000000000002,76.1
449,Cook County 3405.00,17031340500,435447,1535,53.55,4.69,1227,651,94.47,5.53,903,46.95,53.05,7.62,92.38,46.58,57.0,51.279999999999994,31.55,17.16,53.14,27.79,78.4
450,Cook County 3406.00,17031340600,496574,1036,5.12,91.02,481,427,55.97,44.03,425,27.29,72.71,7.82,92.18,73.84,21.62,85.64999999999999,12.700000000000001,1.65,68.19,6.66,67.9
451,Cook County 3501.00,17031350100,567876,2562,7.77,34.86,2181,1558,94.61,5.39,1534,20.53,79.47,2.58,97.42,17.25,89.54,36.519999999999996,33.9,29.59,4.819999999999999,71.75,78.3
452,Cook County 3510.00,17031351000,821383,3197,4.91,74.73,2699,1949,93.33,6.67,2297,21.55,78.45,13.54,86.46,27.34,70.69,44.25,32.87,22.89,19.67,53.61,77.2
453,Cook County 3511.00,17031351100,347265,2327,0.99,89.99,1152,905,65.64,34.36,1014,21.4,78.6,8.42,91.58,79.54,15.17,82.94,12.030000000000001,5.029999999999999,37.16,12.76,72.0
454,Cook County 3514.00,17031351400,323957,1778,4.44,87.63,1111,674,67.06,32.94,894,22.26,77.74,11.53,88.47,72.05,21.32,78.65,12.98,8.39,31.32,22.500000000000004,73.8
455,Cook County 3801.00,17031380100,438048,1913,3.92,92.21,1504,847,81.58,18.42,1131,34.84,65.16,2.53,97.47,53.16,48.95,64.28,4.15,31.57,32.58,33.98,69.8
456,Cook County 3802.00,17031380200,215130,1642,0.61,95.13,1538,595,97.82,2.18,1197,63.99,36.01,2.07,97.93,69.85,45.62,66.57999999999998,22.13,11.28,35.44,29.84,72.3
457,Cook County 3812.00,17031381200,258553,1980,1.31,92.88,1541,1014,96.55,3.45,940,19.89,80.11,3.18,96.82,37.32,64.19,47.04,15.100000000000001,37.88,17.72,43.60999999999999,72.8
458,Cook County 3818.00,17031381800,319368,1149,9.31,86.34,893,602,91.86,8.14,651,25.19,74.81,8.62,91.38,42.82,55.7,51.92,16.74,31.33,23.619999999999997,32.48,70.2
459,Cook County 3819.00,17031381900,172690,1300,4.15,88.0,899,689,89.84,10.16,535,26.54,73.46,9.73,90.27,40.63,60.86,40.01,28.97,31.03,33.37,33.480000000000004,72.8
460,Cook County 3901.00,17031390100,482752,1587,7.81,74.61,1070,880,94.89,5.11,753,14.61,85.39,20.1,79.9,24.95,58.92,46.61,11.29,42.1,25.79,40.18,79.0
461,Cook County 3903.00,17031390300,327051,3002,12.92,84.71,2098,1220,81.56,18.44,1644,24.51,75.49,3.46,96.54,63.66,37.63,61.74000000000001,18.07,20.189999999999998,40.32,26.499999999999996,73.3
462,Cook County 3904.00,17031390400,326306,2324,12.48,84.21,1793,1038,76.01,23.99,1403,34.21,65.79,4.6,95.4,56.33,50.77,66.65,9.77,23.59,34.08,31.62,73.4
463,Cook County 3906.00,17031390600,324629,1714,47.72,45.39,1256,1028,92.32,7.68,838,20.05,79.95,10.5,89.5,23.1,78.41,33.9,17.060000000000002,49.040000000000006,6.29,70.22,84.8
464,Cook County 3907.00,17031390700,608424,5555,24.68,58.31,4428,3052,96.13,3.87,3454,27.94,72.06,5.05,94.95,34.54,76.72,34.19,19.68,46.120000000000005,12.85,66.33,82.0
465,Cook County 4003.00,17031400300,1385551,1274,0.78,97.49,898,616,78.08,21.92,630,25.4,74.6,2.9,97.1,54.71,43.41,63.33,10.309999999999999,26.35,41.65,25.83,76.0
466,Cook County 4004.00,17031400400,326944,1964,3.72,95.98,1315,802,85.54,14.46,863,33.49,66.51,5.12,94.88,70.75,33.28,63.14,22.24,14.6,47.52,22.060000000000002,73.7
467,Cook County 4005.00,17031400500,326149,2110,1.18,97.54,1232,930,89.14,10.86,1011,15.73,84.27,19.72,80.28,58.82,31.8,70.82,20.18,9.0,53.980000000000004,22.16,68.2
468,Cook County 4008.00,17031400800,493317,2166,2.77,92.98,1132,868,68.09,31.91,995,22.91,77.09,8.82,91.18,65.33,27.7,83.42,11.56,5.03,54.41,9.99,72.0
469,Cook County 4101.00,17031410100,220901,2148,39.9,37.15,1706,1435,96.93,3.07,1285,18.05,81.95,15.13,84.87,17.64,75.42,38.37,30.029999999999994,31.61,10.55,61.019999999999996,75.6
470,Cook County 4105.00,17031410500,263011,2728,43.04,37.46,1707,1732,99.08,0.92,1368,14.4,85.6,8.06,91.94,15.73,79.77,44.5,12.64,42.83,12.48,59.76,78.5
471,Cook County 4106.00,17031410600,252245,2483,52.48,18.53,1407,1517,94.4,5.6,1182,18.95,81.05,4.09,95.91,16.97,86.92,57.96,6.18,35.88,11.73,77.75,78.6
472,Cook County 4107.00,17031410700,259923,2227,50.34,22.27,1267,1245,91.08,8.92,1015,15.17,84.83,3.1,96.9,21.19,89.09,52.71,16.26,31.04,14.92,69.78,79.7
473,Cook County 4108.00,17031410800,249520,2920,52.09,17.57,2145,1739,98.96,1.04,1723,12.3,87.7,5.34,94.66,19.73,83.63,47.30000000000001,23.330000000000002,29.37,10.870000000000001,68.53,82.7
474,Cook County 4109.00,17031410900,387624,3395,60.12,21.47,2583,2218,92.06,7.94,1740,19.6,80.4,3.72,96.28,23.74,83.14,31.320000000000004,20.450000000000003,48.22,4.92,77.30999999999999,81.6
475,Cook County 4110.00,17031411000,745892,3428,39.91,40.11,2609,1488,86.22,13.78,2206,36.72,63.28,5.68,94.32,44.28,75.49,43.620000000000005,17.0,39.39,5.74,64.55,80.7
476,Cook County 4111.00,17031411100,283324,2254,66.06,3.77,1257,1133,95.41,4.59,875,26.86,73.14,1.38,98.62,18.28,93.35,21.6,10.98,67.43,3.8200000000000003,82.9,82.4
477,Cook County 4112.00,17031411200,402990,1678,65.26,6.67,1217,799,92.87,7.13,787,32.91,67.09,1.79,98.21,30.75,82.3,24.78,23.77,51.45,4.93,75.44000000000001,83.5
478,Cook County 4201.00,17031420100,761045,1526,2.69,91.42,1136,789,77.44,22.56,829,24.61,75.39,8.52,91.48,56.88,43.91,73.46,14.6,11.95,33.54,18.48,71.1
479,Cook County 4202.00,17031420200,277261,1626,22.08,65.01,1017,710,93.66,6.34,637,10.99,89.01,1.83,98.17,41.49,61.64,53.06,19.78,27.150000000000002,27.14,50.63999999999999,64.7
480,Cook County 4204.00,17031420400,245128,1084,30.44,54.52,689,463,82.07,17.93,652,28.68,71.32,7.47,92.53,54.89,42.99,71.16000000000001,18.09,10.73,44.839999999999996,38.17,74.9
481,Cook County 4205.00,17031420500,245980,1809,1.11,97.68,1300,989,65.42,34.58,879,40.5,59.5,9.95,90.05,63.41,34.22,57.78999999999999,21.619999999999997,20.59,39.69,24.15,73.4
482,Cook County 4206.00,17031420600,243609,1988,4.23,91.6,1367,852,79.34,20.66,942,23.57,76.43,10.45,89.55,64.16,31.72,68.58,8.17,23.25,46.67,14.7,72.0
483,Cook County 4207.00,17031420700,650530,2452,0.9,94.58,1593,1267,69.85,30.15,1105,16.2,83.8,7.22,92.78,70.19,31.16,69.5,25.25,5.25,46.7,13.44,72.7
484,Cook County 4208.00,17031420800,347603,2681,2.05,88.36,1669,1110,90.45,9.55,898,26.61,73.39,11.04,88.96,55.17,36.96,49.33,25.84,24.83,41.76,19.29,71.0
485,Cook County 4212.00,17031421200,325749,1133,3.88,91.17,672,517,84.14,15.86,439,34.17,65.83,16.77,83.23,63.2,29.92,68.8,12.3,18.91,48.51,18.75,74.7
486,Cook County 4301.01,17031430101,327083,2826,1.42,97.49,2161,1727,74.29,25.71,1541,15.38,84.62,10.79,89.21,49.54,45.97,60.68,19.21,20.11,32.53,16.990000000000002,74.0
487,Cook County 4301.02,17031430102,454086,3627,2.43,93.85,2929,2319,92.45,7.55,2290,18.25,81.75,8.8,91.2,50.15,56.24,47.96000000000001,40.21,11.84,25.43,30.799999999999997,76.3
488,Cook County 4302.00,17031430200,661348,5220,8.54,89.41,4014,3030,82.74,17.26,2454,27.63,72.37,8.31,91.69,48.26,51.17,59.129999999999995,20.62,20.25,29.37,18.51,76.8
489,Cook County 4303.00,17031430300,406133,2371,1.77,97.3,1163,908,85.24,14.76,885,14.24,85.76,3.56,96.44,56.32,51.02,68.92999999999999,8.58,22.490000000000002,32.59,20.729999999999997,74.9
490,Cook County 4304.00,17031430400,547730,2893,2.94,91.91,2156,1379,86.0,14.0,1223,27.06,72.94,5.31,94.69,58.46,45.75,54.300000000000004,20.86,24.85,43.5,14.29,72.7
491,Cook County 4305.00,17031430500,342833,3427,1.66,97.14,2273,1778,80.71,19.29,1707,14.24,85.76,5.46,94.54,59.61,46.16,67.88999999999999,12.13,19.970000000000002,41.84,18.17,69.4
492,Cook County 4306.00,17031430600,333359,2222,2.88,90.28,1488,1107,80.94,19.06,804,32.34,67.66,1.35,98.65,57.16,54.19,43.279999999999994,17.91,38.8,25.27,23.18,72.9
493,Cook County 4307.00,17031430700,189450,2686,3.87,94.23,2034,1487,78.21,21.79,1421,18.02,81.98,5.79,94.21,45.12,55.92,66.14,13.73,20.12,42.43,29.15,73.8
494,Cook County 4308.00,17031430800,328071,1888,0.42,98.62,1387,1154,87.87,12.13,724,21.82,78.18,7.52,92.48,53.97,48.15,46.13,33.150000000000006,20.709999999999997,34.68,41.82,72.7
495,Cook County 4309.00,17031430900,336518,1526,0.59,98.1,1262,739,86.87,13.13,817,31.95,68.05,7.54,92.46,56.16,49.41,50.06,34.76,15.17,36.45,20.44,71.3
496,Cook County 4312.00,17031431200,655295,2589,0.81,97.26,2089,1450,92.34,7.66,1235,35.06,64.94,5.79,94.21,51.83,62.11,24.7,41.379999999999995,33.93,31.07,33.419999999999995,72.6
497,Cook County 4313.01,17031431301,404025,3720,5.27,91.08,2353,1792,81.47,18.53,1443,18.16,81.84,11.24,88.76,59.52,33.66,71.52,18.03,10.47,46.49,15.08,67.8
498,Cook County 4313.02,17031431302,437419,3538,4.72,90.53,1972,1641,74.04,25.96,1372,24.71,75.29,10.6,89.4,60.94,33.32,60.92999999999999,20.05,19.02,34.38,18.16,68.5
499,Cook County 4314.00,17031431400,1084987,7068,8.36,89.52,4702,3318,88.31,11.69,3240,22.96,77.04,8.66,91.34,58.24,37.66,56.81999999999999,29.88,13.300000000000002,36.870000000000005,21.439999999999998,68.4
500,Cook County 4401.01,17031440101,377008,4154,0.53,95.96,2766,2111,79.54,20.46,2211,25.78,74.22,13.84,86.16,63.67,32.4,69.93,29.27,0.81,50.69,9.69,67.0
501,Cook County 4401.02,17031440102,627506,3359,6.01,92.68,2677,1861,92.69,7.31,1777,18.51,81.49,13.01,86.99,50.28,45.79,44.160000000000004,36.02,19.810000000000002,39.44,23.68,67.7
502,Cook County 4402.01,17031440201,531454,5918,0.49,95.61,3882,2539,85.43,14.57,2479,26.26,73.74,3.41,96.59,64.96,49.53,58.01,22.950000000000003,19.04,33.16,26.38,73.2
503,Cook County 4402.02,17031440202,781698,2674,0.0,99.21,2131,1064,86.84,13.16,1534,36.18,63.82,6.77,93.23,53.66,57.85,55.53999999999999,23.589999999999996,20.860000000000003,30.45,29.519999999999996,73.7
504,Cook County 4403.00,17031440300,1295106,4572,0.04,98.1,3380,2603,75.49,24.51,2013,33.04,66.96,11.92,88.08,36.61,62.18,35.870000000000005,27.919999999999995,36.22,25.79,31.98,78.1
505,Cook County 4406.00,17031440600,666619,1759,0.91,98.64,1225,926,92.01,7.99,700,32.43,67.57,10.4,89.6,44.63,59.69,28.71,27.0,44.28,33.629999999999995,27.269999999999996,77.0
506,Cook County 4407.00,17031440700,327461,1392,0.93,99.07,1023,666,83.63,16.37,613,24.96,75.04,8.12,91.88,46.62,57.69,30.51,29.53,39.97,29.419999999999998,39.989999999999995,73.4
507,Cook County 4408.00,17031440800,279123,1927,3.63,95.23,1228,854,74.12,25.88,675,27.85,72.15,13.96,86.04,59.26,30.46,64.14999999999999,11.850000000000001,24.0,51.55,11.64,72.8
508,Cook County 4409.00,17031440900,742630,2510,0.08,99.92,1855,1052,85.93,14.07,962,48.54,51.46,6.69,93.31,57.53,50.2,52.06999999999999,16.11,31.810000000000002,48.09,33.58,70.3
509,Cook County 4503.00,17031450300,1366771,3335,1.17,93.64,2503,1618,89.49,10.51,1475,34.98,65.02,5.16,94.84,44.11,69.81,43.99,28.54,27.47,46.22,20.26,75.1
510,Cook County 4602.00,17031460200,600282,2242,49.02,23.37,1581,1045,88.13,11.87,925,29.84,70.16,13.47,86.53,64.81,35.37,65.96,24.75,9.3,54.269999999999996,13.03,73.5
511,Cook County 4603.01,17031460301,485612,3486,22.32,68.36,1870,1705,84.63,15.37,1150,19.22,80.78,14.11,85.89,54.73,37.12,51.220000000000006,30.18,18.619999999999997,60.96,10.64,71.5
512,Cook County 4603.02,17031460302,648832,3593,12.5,83.94,2134,1611,79.14,20.86,1148,21.6,78.4,8.82,91.18,47.84,47.2,56.9,29.799999999999997,13.33,52.760000000000005,16.540000000000003,69.1
513,Cook County 4604.00,17031460400,652525,3492,0.23,98.25,2330,1584,86.49,13.51,1193,41.66,58.34,3.75,96.25,62.83,45.96,45.26,26.740000000000002,27.990000000000002,39.010000000000005,15.41,73.6
514,Cook County 4605.00,17031460500,1277228,6093,0.33,99.57,4373,3499,91.97,8.03,2677,28.5,71.5,8.5,91.5,38.21,61.87,30.51,25.18,44.30000000000001,33.8,27.08,72.4
515,Cook County 4610.00,17031461000,561859,1361,20.94,60.47,1010,403,86.6,13.4,690,60.14,39.86,4.63,95.37,60.82,45.75,73.91,17.68,8.41,69.51,8.02,72.6
516,Cook County 4701.00,17031470100,1589028,2180,4.4,88.9,1721,1092,84.07,15.93,992,42.24,57.76,13.39,86.61,42.89,54.59,50.699999999999996,24.2,25.1,50.15,21.439999999999998,73.2
517,Cook County 4801.00,17031480100,659618,2064,0.58,98.11,1580,920,93.59,6.41,938,40.51,59.49,7.99,92.01,39.39,70.54,37.62,21.33,41.050000000000004,27.909999999999997,30.75,76.7
518,Cook County 4802.00,17031480200,286108,930,0.86,91.08,779,507,86.59,13.41,538,44.8,55.2,5.81,94.19,48.39,69.68,40.89,42.75,16.35,17.08,38.0,79.7
519,Cook County 4803.00,17031480300,415735,1133,1.77,96.29,791,506,93.08,6.92,530,32.83,67.17,5.38,94.62,44.75,62.14,43.96,27.54,28.5,20.86,36.16,76.3
520,Cook County 4804.00,17031480400,1809911,5309,0.87,98.85,4430,2973,95.02,4.98,2255,38.31,61.69,5.52,94.48,42.23,70.77,28.6,21.810000000000002,49.58,23.98,41.15,76.5
521,Cook County 4805.00,17031480500,1363482,2907,11.83,84.21,2050,1127,89.44,10.56,1195,45.94,54.06,5.37,94.63,62.85,51.26,47.71,15.559999999999999,36.73,48.73,23.12,77.2
522,Cook County 4905.00,17031490500,1424111,2025,2.17,94.77,1405,915,82.4,17.6,713,41.51,58.49,13.19,86.81,44.35,53.68,31.979999999999997,29.03,38.99999999999999,26.619999999999997,35.440000000000005,76.5
523,Cook County 4906.00,17031490600,683115,1482,9.04,89.2,1056,649,76.58,23.42,573,47.99,52.01,7.22,92.78,49.26,57.29,40.31,35.61,24.08,28.31,35.6,71.2
524,Cook County 4907.00,17031490700,639811,2785,0.0,100.0,1771,1281,79.16,20.84,923,39.98,60.02,8.22,91.78,65.46,37.88,45.300000000000004,25.35,29.36,39.81,11.52,72.0
525,Cook County 4908.00,17031490800,1081033,3947,1.32,96.99,2811,1889,78.56,21.44,1262,34.55,65.45,11.3,88.7,46.72,49.3,46.35,26.939999999999998,26.72,38.13,24.94,69.6
526,Cook County 4909.01,17031490901,845452,2928,0.03,99.66,2017,1378,72.35,27.65,1237,36.05,63.95,11.99,88.01,58.95,35.21,59.410000000000004,21.98,18.59,46.45,13.09,74.6
527,Cook County 4909.02,17031490902,1196066,4565,0.0,99.01,3175,1867,91.38,8.62,1729,38.75,61.25,6.81,93.19,44.36,61.77,40.3,25.51,34.18,29.759999999999998,23.900000000000002,72.7
528,Cook County 4910.00,17031491000,1277974,3562,0.48,97.08,2427,1388,69.09,30.91,1046,42.93,57.07,13.64,86.36,54.04,42.95,60.709999999999994,29.64,9.649999999999999,50.31,12.73,65.8
529,Cook County 4911.00,17031491100,1321949,4175,3.93,94.51,3338,1826,83.08,16.92,1325,38.04,61.96,10.48,89.52,50.2,50.15,44.0,25.67,30.34,40.5,22.259999999999998,73.2
530,Cook County 4912.00,17031491200,649492,1962,7.24,89.7,1481,683,90.04,9.96,674,50.15,49.85,8.15,91.85,56.12,52.29,45.39,24.17,30.409999999999997,48.35,17.89,71.2
531,Cook County 4913.00,17031491300,646033,2436,0.86,97.37,1506,1053,85.57,14.43,647,40.19,59.81,11.91,88.09,64.47,30.65,52.25,19.32,28.440000000000005,56.370000000000005,14.87,70.3
532,Cook County 4914.00,17031491400,829869,3455,2.43,95.31,1915,1549,69.08,30.92,1121,24.89,75.11,11.52,88.48,57.28,37.68,66.11,13.29,20.61,42.14,15.61,71.4
533,Cook County 5001.00,17031500100,2651676,3282,1.92,98.08,2741,2059,92.18,7.82,1660,36.08,63.92,0.91,99.09,42.9,71.27,27.869999999999997,32.66,39.47,28.75,29.779999999999998,70.2
534,Cook County 5002.00,17031500200,2042414,2140,1.26,93.36,1225,896,75.33,24.67,786,9.03,90.97,9.44,90.56,54.58,46.07,53.809999999999995,31.42,14.76,44.33,18.439999999999998,72.7
535,Cook County 5003.00,17031500300,709172,1709,59.04,31.83,1369,1085,76.59,23.41,871,21.58,78.42,15.04,84.96,41.02,55.59,41.44,29.85,28.700000000000003,33.6,41.71,74.6
536,Cook County 5101.00,17031510100,2147646,3597,69.67,12.98,2374,1608,87.19,12.81,1180,30.51,69.49,13.23,86.77,52.35,41.28,50.86,33.31,15.85,53.5,13.94,76.8
537,Cook County 5102.00,17031510200,1277946,3709,25.91,69.48,2692,1578,87.71,12.29,1255,33.07,66.93,7.41,92.59,53.71,48.8,48.22,24.46,27.340000000000003,44.91,24.14,74.0
538,Cook County 5103.00,17031510300,2958348,4805,0.75,99.25,2955,1991,70.47,29.53,1851,40.95,59.05,2.41,97.59,78.27,31.38,60.839999999999996,21.129999999999995,18.04,43.449999999999996,14.149999999999999,74.6
539,Cook County 5201.00,17031520100,2581898,2219,72.83,5.72,1256,921,91.97,8.03,494,29.35,70.65,24.25,75.75,52.01,27.26,29.16,29.35,41.5,73.56,12.66,76.9
540,Cook County 5202.00,17031520200,1108055,3039,56.4,8.23,1851,1364,95.38,4.62,1036,19.79,80.21,14.25,85.75,51.6,40.14,46.33,21.61,32.05,68.01,12.53,79.9
541,Cook County 5203.00,17031520300,958354,5528,74.76,0.25,3341,2467,89.38,10.62,1847,30.43,69.57,13.91,86.09,45.93,45.93,43.09,32.76,24.150000000000006,72.28999999999999,6.41,77.0
542,Cook County 5204.00,17031520400,725278,4278,76.3,1.19,2699,2038,87.83,12.17,1358,20.62,79.38,10.47,89.53,36.33,60.68,31.970000000000002,38.14,29.89,55.25,13.15,82.0
543,Cook County 5205.00,17031520500,1050138,5208,67.07,2.0,3139,2420,93.26,6.74,1471,22.71,77.29,3.71,96.29,34.43,68.78,23.040000000000003,29.709999999999997,47.25,55.72,16.020000000000003,78.5
544,Cook County 5206.00,17031520600,1089377,2727,76.75,0.29,1662,1017,97.84,2.16,775,40.77,59.23,5.98,94.02,34.47,68.57,23.22,31.61,45.16,62.94,9.99,79.6
545,Cook County 5301.00,17031530100,649937,2089,44.57,36.81,1411,1102,83.12,16.88,817,31.09,68.91,15.8,84.2,56.87,32.79,60.94999999999999,23.619999999999997,15.42,68.96000000000001,7.44,71.8
546,Cook County 5302.00,17031530200,1297343,4185,0.74,93.69,2709,1874,71.77,28.23,1304,41.56,58.44,11.4,88.6,68.27,30.13,46.7,28.06,25.22,43.89,11.15,69.5
547,Cook County 5303.00,17031530300,1308194,3794,0.82,96.07,2609,1878,84.19,15.81,1469,36.28,63.72,7.72,92.28,55.88,46.78,44.87,31.099999999999998,24.03,40.480000000000004,14.95,73.0
548,Cook County 5304.00,17031530400,1312063,2174,1.98,94.16,1383,1050,90.29,9.71,739,32.48,67.52,9.52,90.48,38.13,59.98,33.97,18.0,48.050000000000004,36.44,14.76,72.3
549,Cook County 5305.01,17031530501,1296493,5073,2.92,95.37,2927,2642,74.07,25.93,1757,33.64,66.36,10.96,89.04,46.97,48.55,43.76999999999999,23.79,32.44,52.300000000000004,13.4,68.7
550,Cook County 5305.02,17031530502,706252,1609,0.0,99.56,1163,863,85.98,14.02,576,29.17,70.83,15.23,84.77,34.18,63.21,26.75,35.42,37.85,27.25,23.3,75.1
551,Cook County 5305.03,17031530503,1598487,5192,2.0,95.34,3294,2615,72.01,27.99,1529,38.19,61.81,4.12,95.88,49.69,57.11,39.699999999999996,23.68,36.62,41.59,25.090000000000003,72.5
552,Cook County 5306.00,17031530600,966243,2368,0.55,95.65,1550,1173,93.01,6.99,872,31.19,68.81,9.92,90.08,47.64,51.86,50.58,23.28,26.15,36.33,18.25,70.6
553,Cook County 5401.01,17031540101,3357305,4219,5.71,93.55,2140,1739,67.97,32.03,1568,5.99,94.01,10.81,89.19,75.11,16.47,75.07000000000001,13.71,11.22,40.79,3.83,67.7
554,Cook County 5401.02,17031540102,5297055,3195,1.28,98.25,1702,1288,73.06,26.94,1189,18.33,81.67,8.29,91.71,78.5,16.78,73.92999999999999,20.69,5.38,48.94,10.05,68.5
555,Cook County 5501.00,17031550100,7189486,6584,78.1,7.64,4311,2946,88.26,11.74,2490,39.92,60.08,10.21,89.79,49.96,50.66,40.92,25.38,33.68,59.5,15.979999999999999,75.5
556,Cook County 5502.00,17031550200,5093938,2591,80.93,4.98,1897,1250,94.32,5.68,1017,34.41,65.59,7.49,92.51,28.83,73.29,31.849999999999998,31.369999999999997,36.76,36.629999999999995,15.129999999999999,74.2
557,Cook County 5601.00,17031560100,693892,1314,40.94,18.34,970,516,92.05,7.95,326,45.09,54.91,6.13,93.87,42.17,55.94,39.260000000000005,25.46,35.27,70.1,12.89,70.3
558,Cook County 5602.00,17031560200,662049,1560,17.24,61.41,1106,735,72.38,27.62,559,44.19,55.81,8.46,91.54,47.56,58.46,34.88,32.379999999999995,32.74,57.150000000000006,15.379999999999999,74.0
559,Cook County 5603.00,17031560300,653932,3102,61.57,3.0,2029,1427,88.72,11.28,1024,38.77,61.23,8.96,91.04,38.49,59.67,44.34,20.7,34.959999999999994,63.19,14.78,76.0
